subject,body,label
re : enron - allegheny energy supply agreement,"louise ,
this is the extent of my conversation with mike on this topic . i am fully aware of maintaining all of our options .
don
- - - - - - - - - - - - - - - - - - - - - - forwarded by don miller / hou / ect on 03 / 14 / 2001 01 : 51 pm - - - - - - - - - - - - - - - - - - - - - - - - - - -
don miller
03 / 14 / 2001 11 : 53 am
to : "" morrell , michael p . "" @ enron
cc :
subject : re : enron - allegheny energy supply agreement
mike ,
thanks for the email . given schedules , it may be early next week before i can get back to you with comments .
regards ,
don
"" morrell , michael p . "" @ alleghenyenergy . com > on 03 / 14 / 2001 10 : 12 : 01 am
sent by : "" thomas , cynthia l . ""
to : "" ' don . miller @ enron . com ' ""
cc : "" morrell , michael p . "" , "" bevilacqua , david j . "" , "" clark , patricia j . ""
subject : enron - allegheny energy supply agreement
as we discussed by phone yesterday , i am attaching drafts of a
letter i propose to send to louise kitchen and an amendment to the agreement
between enron and allegheny energy supply .
the detailed schedule to get us from here to closing is as follows :
march 19 s - 3 ready to go effective ( no sec review )
march 23 sec approval of ewg filing
march 30 underwriters ' due diligence complete
april 3 sec approval of equity / debt financing filing
april 4 s - 3 goes effective ( no sec review )
april 6 print preliminary prospectus
april 8 palm sunday / passover begins
april 9 distribute preliminary prospectus / begin sales calls
april 13 good friday
april 15 easter / passover ends
april 16 s - 3 ready to go effective ( assuming sec review )
april 18 - 20 united states roadshow
april 22 - 23 europe roadshow
april 24 - 25 united states roadshow
april 26 equity pricing
may 2 debt placement closing with banks
may 2 equity sales closing
may 3 enron acquisition closing
> >
please call me when you have reviewed these items . my phone number
is ( 301 ) 665 - 2716 .
m . p . morrell
- enron letter . doc
- amendment to enron agreement . doc
",legitimate
orillion and ebs visit,"* * * * * confirmation of meeting with orillion * * * * *
gentlemen :
i have spoken with jerry sellers of orillion and he will be visiting with ebs
on tuesday , april 25 , 2000 for about half a day . orillion is scheduled to be
at ebs from 1 : 00 - 4 : 00 p . m . in conference room 45 cl . the following
individuals will participate on behalf of orillion . they are as follows :
jerry sellers , chairman
terry lindsey , president
professor ken dick , technical advisory board at university of nebraska
orillion would like to propose the following discussion topics :
1 . introduce orillion to ebs
2 . engage in technical discussions
3 . discussions on how orillion can help ebs
participants from ebs :
arshak sarkissian for scott yeager
vince kaminski
john griebling
james reece
david reece
everette plante
diane hetzel
dorn hetzel
ravi thuraisingham",legitimate
HAPPY NEW YEAR,"Dear Sir, 
I wish you go through this offer to consider being my partner.I am Mr.SAMSON BAMOGU .,from the republic of Sierra-Leone in west Africa,now seeking political asylum in Senegal under the (UNHCR).I got your contact through my search for a business partner. 
In Details.My late father (Dr.MUSTAPHA BAMOGU) was the managing director of Rainbow Gold Diamond Mining company in (KEN EMA) Sierra- Leone.But was killed during the longing civil war and all his properties was totally destroyed.However, we managed to escape with some of my father's precious Diamonds which is presently deposited safely in a security and finance company here in Dakar. 
Now we are saddled with the problem of securing a trust worthy foreign personality to help us transfer the diamonds over to his country pending my arrival to meet with him.Furthermore,we only want this done this way because your country is politically stable for any profitable investment and if you accept our proposal,you will serve as the beneficiary of the diamonds. 
I am giving you the offers as mentioned with every confidence on your acceptance to assist us,we have decided to give you 10% out of the total money generated from the sales of the diamonds.Secondly,we shall mapped out 2% for any miscellaneous expenses that you may incur during the transferring of the diamonds over to your country. Finally,the diamond weight in question is 14.550 Carats.Conclusively,i wish you send me a reply immediately as soon as you receive this proposal, so that we shall arrange on how to lift this consignment out of Dakar Senegal to your country. 
On commencement,this transaction will take (7) working days to be accomplished.A certificate of ownership, and the Lab-test result certificate of the diamonds would be fax to you immediately i receive your urgent and positive reply. My alternative email address is (samson_bamogu2003@yahoo.fr) Untill then i remain with the best regards. 
Regards, 
Samson. 






",phishing
HELLO!!,"Mr Lewis Musasike
Development Bank of Southern Africa.
1258 Lever Road
Headway Hill,
MIDRAND
Republic Of South Africa.
Email:lmusasike@dearriba.com
Hello,

I am Mr Lewis Musasike, General Manager(Treasury) of Development Bank of Southern Africa.This is an urgent and very confidential business proposition.

On May 27, 2001,a Foreign Oil consultant/contractor with the South African Institute of Mining and Metallurgy, Mr.Kelvin Smith made a numbered time(Fixed) Deposit for twelve calendar months, valued at US$10,500,000.00, (Ten Million, five hundred thousand Dollars).

Upon maturity,I sent a routine notification to his forwarding address but got no reply. After a month,we sent a reminder and finally we discovered from his contract employers, the National Petroleum Corporation that Mr.Kelvin Smith died from an automobile accident.On further investigation,I found out that he died without making a WILL,and all attempts to trace his next of kin was fruitless.

I therefore made further investigation and discovered that Mr.Kelvin Smith did not declare any kin or relations in all his official documents,including his Bank Deposit paperwork in my Bank. This sum of US$10,500,000.00 has carefully been fixed in my bank for safekeeping.

No one will ever come forward to claim it.According to South African Law,at the expiration of 5 (five) years, the money will revert to the ownership of the Government if nobody applies to claim the fund.

Consequently, my proposal is that I will like you as a Foreigner to stand in as the owner of the money which was fixed deposited in my bank. I am writing you because I as a public servant,i cannot operate a foreign account.

I want to present you as the owner of the funds so you can be able to claim them with the help of my attorney. This is simple.I will like you to provide immediately your full names and address so that the Attorney will prepare the necessary documents which will put you in place as the beneficiary of the funds.

The money will be moved out for us to share in the ratio of 60% for me and 40% for you. The paperwork for this transaction will be done by the Attorney.If you are interested, please reply immediately via my email address and Upon your response,I shall then provide you with more details and relevant documents that will help you understand the transaction.Please observe utmost confidentiality, and be rest assured that this transaction would be most profitable for both of us because I shall require your assistance to invest my share in real estate within your country.



Awaiting your urgent reply via my email Above.

Thanks and my regards.

Lewis Musasike.










------------------------------------------------------------------------------
deArriba me paga por navegar. Vos tambien podes ganar $$$ navegando. Entra a www.dearriba.com.



",phishing
Subscribed Alert: Important Notice On Your USAA Savings Account,"To             ensure delivery to your inbox, please add USAA.Customer.Service@mailcenter.usaa.com             to your  address book.   Subscribed Alert View Accounts | Privacy Promise | Contact Us USAA                                                  SECURITY ZONE  Security and Privacy USAA Center            Dear USAA  Member,     For your protection,  USAA Bank temporarily suspended your account.  We detected violation of our terms and  policy. Your account will be disabled permanently within 24hours. Sign- On USAA                values your business  and is committed to keeping your                accounts and personal information safe. To  learn how we                protect your information, visit our Security                Center.      Thank you,  USAA                           USAA, 9800  Fredericksburg Road, San Antonio, Texas 78288           Privacy Promise            Please do not reply to this e-mail. To  contact USAA, visit our secure contact page. 129644- 0815",phishing
READ MY MESSAGE,"READ MY MESSAGE


I know that this mail will come to you as a surprise, 
I am HANSON MILLS,the manager, 
bill and exchange department, HSBC BANK 
Rye Lane Branch London UK

In my department we discovered an abandoned 
sum of 800,000.00 POUNDS 
(EIGHT Hundred Thousand POUNDS) in an account 
belonging to 
one of our foreign customers(ROBERT  GANDESBERY,), who 
died 
along with his entire family on Monday, 31 July, 2000 in a plane 
crash in 
Paris. Please visit this site for the story line

http://news.
bbc.co.uk/1/hi/world/europe/859479.stm

Since we got information about 
his death, we have been expecting his 
next of kin/relations  to come 
over and claim his money because we 
cannot release it unless some body 
applies for it as next of kin or 
relation to the deceased as indicated 
in our banking guidelines and laws, but 
unfortunately we learnt that 
all his supposed next of kin or relation 
died alongside with him at 
the plane crash leaving nobody behind for the 
claim. 

It is upon this 
discovery that I now decided to make this 
business proposal to you, 
and for you to act as the next of kin to enable us 
release the money 
to you. The banking law and guideline here stipulates 
that if such 
money remained unclaimed after Six years, the money will 
be 
transferred into the bank treasury as unclaimed fund.


We have agreed 
that 30% of this money will be for you for all the 
assistance and 
commitment you will put in to the transaction 10% will be set 
aside 
for all expenses incurred during the business and 50% would be 
for me. 
Please note that as soon as the transaction is completed I shall 
proceed immediately to your country for disbursement and possible 
investment possibilities.


Please note also that upon receipt of your 
reply, I shall let you know the 
processes we shall take to realize 
these dreams. I will not fail to 
bring to your notice that this 
transaction is hitch-free and that you 
should not entertain any atom 
of fear as all required arrangements have been 
made for proper 
execution of the transaction.

Trusting  to hear from you immediately.

Thanks

Hanson Mills







",phishing
fw : sean crandall departure,"fyi .
- - - - - original message - - - - -
from : belden , tim
sent : thursday , june 07 , 2001 12 : 36 pm
to : portland west desk
subject : sean crandall departure
i regret to announce that sean crandall has tendered his resignation from enron . he has decided to return to his native land of utah to join duke energy ' s trading team . sean made tremendous contributions to our trading floor during the past few years . he will be sorely missed . please join me in wishing sean the best in his future endeavors .
tim belden",legitimate
RE: HELP CENTER!,"________________________________ From: Neil Conner Sent: Tuesday, January 03, 2017 9:28 AM To: Neil Conner Subject: HELP CENTER! Dear  E- mail  User, Please note we have temporary blocked your account from receiving e-mails, because we detected fraudulent and spam activities from your Outlook mail account to some blacklisted email address, So for your own safety verify your account. If a verification respond is not gotten from you in the next 24 hours, we are sorry we will be forced to permanently disable and delete your account from Microsoft Outlook Account. To verify your Outlook  account, Click Here We regret Any inconvenience. Thanks. Technical Support Team. Administrator. From: Neil Conner Sent: Tuesday, January 03, 2017 9:28 AM To: Neil Conner Subject: HELP CENTER! Dear  E- mail  User,   Please note we have temporary blocked your account from receiving e-mails, because we detected fraudulent and spam activities from your Outlook mail account to some blacklisted email address, So for your own safety verify your account.   If a verification respond is not gotten from you in the next 24 hours, we are sorry we will be forced to permanently disable and delete your account from Microsoft Outlook Account. To verify your Outlook  account,  Click Here   We regret Any inconvenience.   Thanks.   Technical Support Team. Administrator.",phishing
fw : sad but humorous - enron,"we need this humor today ! tk
-
-
subject : fw : sad but humorous - enron
the truth about enron ?
",legitimate
meeting,"sally ,
thanks for the voice - mail . while we have selected a date , it is not cast in
stone . if there is another date that works better and would allow more of
the individuals to participate , that is fine with me . i just want to make
sure that the program is being responsive . incidentally , i did not realize
that rick would be out of town , so it is no problem to change the date .
you indicated that you would be willing to provide a few bullet points
regarding the issues you and the group would like for us to address . that
would be great . please forward those at your earliest convenience .
i will assume that you will notify the other individuals of the date and time
of the meeting , wednesday , april 19 th at 10 : 00 a . m . if this assumption is
not correct please provide the names of the other individuals who will attend
the meeting and i will call them . also if you decide it makes sense to
change the date , just let me know .
thanks for your assistance .",legitimate
"re : enron bid , cps rfq 14886 - bid clarification / questions","enron north american
daren farmer
1400 smith street
houston , texas 77002
thank you for your bid . cps is currently evaluating all bids . part of this
process includes ( where needed ) clarification / confirmation of the bids . we
emphasize we are not seeking nor can we accept any change of bids . our
understanding of the your bid reflects ( in part ) :
* unbundled gas supply , 5 year term :
- to waha , agua dulce , or thompsonville ; up to 15 , 000 mmbtu / d , at
stated bid prices ; firm baseload ( no nomination )
* bundled gas supply , 5 year term :
- to cps - karnes or cps / el paso ; up to 15 , 000 mmbtu / d , at stated bid
prices ; firm baseload ( no nomination ) .
cps needs clarification of total volumes available combining maximum
unbundled and bundled gas supply . we may have other questions as we continue
our evaluation . we look forward to your response . please respond via email
to me and all parties in the "" cc "" box above , or by fax to ms . trisha wiatrek
at 210 - 353 - 3060 and copied to barry williams . again , thank you for your bid .
sincerely ,
barry s williams
geologist
city public service
po box 1771 / 145 navarro
san antonio , tx 78296
210 - 353 - 2876",legitimate
assistance,"FROM: DR STEPHEN UMAH 
 GULF BANK NIG PLC 
 HEAD OFFICE 
 Plot 1212, tijian bello Street, 
 Victoria Island, 
 P.M.B 0090, Lagos 
 E-MAIL:gulfbank@latinmail.com 
www.gulfbank.com 
 
 
 DEAR SIR, 
 
 I know that you must have recieved the first letter 
 I sent  to you by post, but if you have not, here comes 
 afollow-  upto the letter. 
 
 First I must seek for your understanding and pray 
 that  Godwill give you the wisdom to understand my problem 
 and be  in a position to help as you will be surely blessed 
 as you  help. I am Dr Stephen Umah,I am 41 Years old and 
 also the  chief accountant with Gulf Bank Nig PLC . I have a 
 transaction which I think will be of mutual benefit 
 to both  of us. In my desire for a foreign partner with whom 
 to do  this ransaction, I stumbled on your contact from a 
 business  directory. 
 As the head of accounts department of GBNP, I 
 discovered  some amount of money while I was auditing accounts 
 for the  2001 financial year which has been lying there for 
 over 3  years. On further inquiry, I discovered that this 
 money  totalling about USD$45.5 Million (Forty five Million 
 five  hundred thousand United States Dollars) including 
 accumulated interest belonged to one MR. H .LEE , a 
 korea  Nationale who lived here and died intestate with no 
 beneficiary. 
 This man died through a plane crash of ADC airlines 
 in  1998. I have Successfully secured the money and with 
 the  assistance of my colleague, the money has been moved 
 out of  my bank and deposited in a finances company. It was 
 packed  in three(3)metal trunk boxes as photographic 
 materials. I  would need your particulars to enable me prepare 
 documents  which will authenticate that the Consignment belongs 
 to you  as the next of kin to MR. H .LEE and to enable you 
 claim  the money. I want to be assured of a safe account 
 where the  money will be deposited pending my arrival. This 
 transaction is absolutely risk free with no illegal 
 complications, I have made all necessary 
 arrangements for a  successful transaction. Before this money is 
 entrusted into  your care, there must be an agreement that will be 
 reached  between us stating that: 
 
 1.BOTH PARTIES WILL NOT FOR ANY REASON CHEAT EACH 
 OTHER. 
 2.BOTH PARTIES WILL WORK TOGETHER TO SEE THIS 
 TRANSACTION  THROUGH. 
 3.A HIGH DEGREE OF TRUST AND CONFIDENTIALITY WILL BE 
 APPLIED FOR THE SAKE OF OUR WORK. 
 4.I AND MY PARTNER WILL STRONGLY BE BY YOUR SIDE 
 AS YOU CLAIM THIS FUND AND I AND MY PARTNER WILL 
 ARRAGE AN ATTORNEY (LAWYER)WHO WILL WORK ON 
 YOUR BEHALF TO GET THE NECESSARY 
 PAPERS NEEDED FOR A SMOOTH TRANSACTION. 
 5.YOU WILL NOT DISAPPEAR WITH OUR FUND AFTER 
 YOU HAVE CLAIMED IT. 
 6.DISBURSEMENT RATIO WILL BE 75% FOR ME AND MY 
 COLLEAGUE,15% FOR YOU, 5% WILL BE DONATED TO 
 CHARITY,WHILE 
 
 5% WILL TAKE CARE OF OUR MUTUALEXPENCES. 
 There is need for you to respond to this offer 
 immediately  as the government of my country have concluded plans 
 to  apply the money into arms procurement to project 
 wars and  unrest in African continent. 
 I must let you know that a high degree of trust is 
 required  and also we will like to use our own share to go 
 into any  lucrative business with your help/assistance. 
 Awaiting your urgent response now. 
 Yours Faithfully 
 
 DR Stephen Umah 
 



",phishing
REQUEST INVESTMENT,"From:Mr.Kabir Bello. 
E-mail: Kabirbello02@she.com 
Tel:+66-1-4919460.

Attention:The Managing Director

Before I proceed, may I humbly introduce myself to your good self, My Name is Mr.Kabir Bello, an Iraqi refugee ,my Father was until recently, one of the personal aid to the president of Iraq who was formerly overthrown out of power during the War in My Country which took many life . 
Prior to this last serious crisis that is still ravaging in my country, which recently led to misfortune of our government and my late Father's position as the personal aid to the president, we were able to come over here in Thailand with my mother for investment ,we inherited the sum of US$16 Million. The funds were originally gotten from my late Father's proceeds. My late father was able to safe guard the fund with a very good diplomatic contact from my Country to Thailand which make us to come here to plan our life. 
But all is about life and death I witnessed another tragedy which could have taken my own life in Thailand here but I feel this is not the time, It started on 26th of December here in Phuket another disaster occurred here named( TSUNAMI) which as well took the life of my mother and up till now her body are yet to to be found, I am the only surviving person in my Family now.
I have decided to contact you because I am interested in investing in your country . Please kindly guide and assist me in making the right investment as every thing regarding technical and logistics details is worked out and ascertained to our respective satisfaction. In view of your participation, I am ready to give you a good negotiable percentage for your assistance, or better still commit it into viable Joint venture projects, be assured that you stand no risk of any kind as the funds belong to me as the only surviving son. As soon as I get your consent, I will quickly move this fund to your country for investment . 
However, upon your acceptance to work as my partner, you can contact me with my private telephone number or e-mail for more details.
I strongly believe that associating with you to embark on this and other business ventures will derive a huge success here after, please include you private contact telephone number and private e-mail when replying.

Yours Sincerely.
Mr.Kabir Bello.




",phishing
BUSINESS URGENT!!!,"Compliments.

Before I introduce myself, I wish to inform you that this letter is not a
hoax mail and I urge you to treat it serious. We want to transfer to an
oversea account ($16,700.000.00 USD) Sixteen Million Seven Hundred Thousand
United States Dollars) from one of the banks located in Dakar Senegal. I
want to ask you, If you are not capable to quietly look for a reliable and
honest person who will be capable and fit to provide either an existing bank
account or to set up a new Bank a/c immediately to receive this money, even
an empty a/c can serve to receive this money, as long as you will remain
honest to me till the end of this important business ,I am trusting in you
and believing in God that you will never let me down either now or in
future.

I am Mr Philip Tarila. a personal assiatant to late Andreas Schranner.
During the course of his bank's last week auditing,it was discovered that
since his death no one has come forward to lay claim to this funds.So the
bank issued me a memo to provide his next of kin or forfeith the funds. This
account was opened with the bank in 1999 and since 2000 nobody has operated
on this account again, after going through some old files in my records,I
discovered that my late client  died without a [Heir/WILL] hence the money
is floating and if I do not remit this money out urgently it will be
forfeited for nothing.
The owner of this account Mr. Andreas Schranner a German property magnate
who unfortunately lost his life in the plane crash of AF4590 German Concorde
which crahsed on July 25th 2000,including his family leaving nobody as next
of kin.
No other person knows about this account or any thing concerning it,the
account has no other beneficiary and my investigation proved to me as well
that the account is a secret account.

The total amount involved is Sixteen million Seven Hundred Thousand United
States Dollars only [$16, 700.000.00] and we wish to transfer this money
into a safe foreigners account abroad. But I don't know any foreigner, I am
only contacting you as a foreigner because this money can not be approved to
a local person here, but to a foreigner who has information about the
account, which I shall give to you upon your positive response. I am
revealing this to you with believe in God that you will never let me down in
this business, you are the first and the only person that I am contacting
for this business, so please reply urgently so that I will inform you the
next step to take urgently.

At the conclusion of this business, you will be given 25% of the total
amount,70% will be for us, while 5% will be for expenses both parties might
have incurred during the process of transferring. I look forward to your
earliest reply. PLEASE, TREAT THIS PROPOSAL AS TOP SECRET.reply to (
philip_tarila01@myway.com)

Best Regards,

Mr.Philip Tarila.
",phishing
re : arcor transaction completed,"congrats
please put a plan together for me .
john
- - - - - original message - - - - -
from : guerriero , michael
sent : wednesday , february 21 , 2001 11 : 43 am
to : calo , andrea ; waingortin , carolina ; folgar , cristian ; mestre , erica ; valle , fabian ; aguilar , gabriela ; canovas , guillermo ; bertocchi , gustavo ; kabel , jeff ; shoobridge , john ; feldman , laura ; juarros , luis ; salvador , maria belen ; beccaccini , maria pia ; benitez , mario aguilar ; pardellas , marisa ; ortiz , marta ; guerriero , michael ; cordoba , miguel ; rodriguez , nadia ; porta , santiago ; dorfman , sara ; leppez , veronica ; ramos , julie ; ueckert , allen w . ; guidry , john ; ham , roshena ; daniels , roberto ; johnson , dirk ; votaw , waymon ; veariel , robin ; miceli , keith ; ambler , john ; wagner , kathleen ; sassatani , ricardo ; young , randy ; haedicke , mark ; atenor , guillermo ; hollweck , diego ; black , don ; poole , julian ; collonges , remi ; wiggs , brett ; granado , maria ines ; padron , miguel ; freyre , rodolfo ; weidler , peter ; hansen , patrick ; gay , rob ; phan , thach c . ; blackham , roderick ; beaven fernandes @ enron communications ; hendry , brent ; lamar frazier / enron _ development @ enron _ development ; popkin , michael ; estrems , connie ; tribolet , michael ; mckone , bill ; andrews , bernardo ; castleman , kent ; aven , lynn ; moehlman , cathy ; radous , paul ; majom @ sinectis . com . ar ; cmbastos @ ssdnet . com . ar ; taylor , mark
cc : kishkill , joe ; gonzalez , orlando ; lavorato , john
subject : arcor transaction completed
as of this moment the acquisition of the arcor modesto maranzana power facility has been completed . all documents and assets have been executed and / or transferred .
congratulations to the deal team and all those who have diligently worked on this project over the past eighteen months . your efforts our are greatly appreciated and you have achieved bottom line results for enron .
michael f . guerriero",legitimate
Your email Account ( jose@monkey.org) will be shut down.,"Dear (jose@monkey.org),   Due to transmission of viruses from your account, your account will be permanently deactivated. In respect to the above reason, you are urgently required to sanitize your email account with Global e-mail Server 3.0 Version Scanner; otherwise, your access to email services will be deactivated without warning!   Click here now to scan and sanitize your email account Please move this message to your inbox and click the link if you found it into your spam because the link cannot open in your spam.   We are very sorry for the inconveniences this might have caused you and we assure you that everything will return to normal as soon as you have sanitized your email account.   Admin.",phishing
fw : csfb independent power weekly ; notes from eei included,"- - - - - original message - - - - -
from : stein , neil [ mailto : neil . stein @ csfb . com ]
sent : monday , november 05 , 2001 7 : 24 am
to : undisclosed - recipients
subject : csfb independent power weekly ; notes from eei included
>
good morning ,
attached , please find the latest issue of our independent power weekly .
summary :
1 . ipps fall 3 . 7 % last week our ipp composite declined 3 . 7 % ,
underperforming both the s 2 . development activity slowing / value driven
m and , 3 . enron exposure .
4 . prevailing mood at eei : uncertainty versus last year ' s conference , the
prevailing mood at eei was one of uncertainty . given developments in the
equity market , commodity market and regulatory arenas , some investor concern
is not surprising . however , we remain positive on the prospects of the
owners and developers of power generation assets for 2 reasons : 1 . long - term
industry fundamentals remain intact ; and , 2 . current concerns are
discounted / ipps trading at 20 % below private market value .
5 . selectivity is important ; focus on the major ipps : highlighting cpn , mir
and nrg we continue to highlight calpine ( cpn , strong buy ) , mirant ( mir ,
buy ) and nrg energy ( nrg , buy ) . owing to their combination of geographic
diversification , large scale operations and substantial hedging , our
analysis indicates that these companies are best positioned to deliver
sustainable earnings and growth in the face of volatile power market
conditions . we believe the current environment should serve as a catalyst
to differentiate these companies from their peers .
6 . debt market update last week enron remained the focus of debt investor
attention , fueling a high level of trading activity for the ipps . credit
spreads continue to be negatively influenced by concerns regarding exposure
to enron .
regards ,
neil stein 212 / 325 - 4217
this message is for the named person ' s use only . it may contain
confidential , proprietary or legally privileged information . no
confidentiality or privilege is waived or lost by any mistransmission .
if you receive this message in error , please immediately delete it and all
copies of it from your system , destroy any hard copies of it and notify the
sender . you must not , directly or indirectly , use , disclose , distribute ,
print , or copy any part of this message if you are not the intended
recipient . credit suisse group and each of its subsidiaries each reserve
the right to monitor all e - mail communications through its networks . any
views expressed in this message are those of the individual sender , except
where the message states otherwise and the sender is authorised to state
them to be the views of any such entity .
unless otherwise stated , any pricing information given in this message is
indicative only , is subject to change and does not constitute an offer to
deal at any price quoted .
any reference to the terms of executed transactions should be treated as
preliminary only and subject to our formal written confirmation .",legitimate
august palo verde,"my latest information on rate increases in california indicates that they will be implemented june lst . that means that customers don ' t see a price signal until june and won ' t actually see their bill until july . while i agree with greg that we may see dramatic demand side response once people see their bills , we have no idea how long it will take people and businesses to adjust their behavior . i don ' t really care what positions you guys want to carry . my only advice is that greg is short a fairly illiquid product . if you want to get out right now you would have to pay , at least for some of your position , north of $ 800 / mwh . in the near term i don ' t think that it will be easy to get out of this trade . in the long run , if the market comes off , it will be easy to get out .
bottom line - -
at the end of the day i think that you may be right , but things look very bullish right now . i want to make sure that you know that you have already pushed the bounds of liquidity for that product and that you should not expect us to provide liquidity to you in a market that doesn ' t offer it to us when it is time to get out .",legitimate
re : resco database and customer capture,"steve :
osman has been working on setting up this meeting and its agenda . i already
informed john henderson about this as he is the main person from resco . both
osman and i will be involved from the research modeling angle . osman will
contact you today regarding this .
thanks ,
krishna .
vince j kaminski
04 / 11 / 2000 05 : 27 pm
to : steven r meyers / hou / ees @ ees
cc : vince j kaminski / hou / ect @ ect , pinnamaneni krishnarao / hou / ect @ ect
subject : re : resco database and customer capture
steve ,
krishna from my group . krishna can also advise you on resco participation .
vince
steven r meyers @ ees
04 / 11 / 2000 04 : 51 pm
to : vince j kaminski / hou / ect @ ect
cc :
subject : re : resco database and customer capture
vince ,
i was not going to be involved directly in the meeting . who from either your
group or from resco marketing should participate ?
thanks ,
steve
vince j kaminski @ ect
04 / 11 / 2000 08 : 27 am
to : steven r meyers / hou / ees @ ees
cc : pinnamaneni krishnarao / hou / ect @ ect , vince j kaminski / hou / ect @ ect
subject : re : resco database and customer capture
steve ,
it makes sense to meet with abacus . retail marketing is very data intensive .
if you set up a meeting with them ,
please , let me know .
vince
steven r meyers @ ees
04 / 11 / 2000 08 : 17 am
to : timothy edward vail / hou / ees @ ees
cc : vince j kaminski / hou / ect @ ect
subject : resco database and customer capture
tim ,
i hope things are going well in resco . i think somebody from resco ( or
research ) may be interested in the email i received below from brad davids .
brad is now working at abacus who works with residential customer patterns as
well as predictive modelling . he ' s going to be here the 25 and 26 of this
month . i ' m not sure who is responsible for resco marketing , but i think they
would find this interesting . who should i send this to ? please let me know
if anybody in resco may have any interest .
thanks ,
steve
ps : vince , simply an fyi since they do focus on modelling and research .
- - - - - - - - - - - - - - - - - - - - - - forwarded by steven r meyers / hou / ees on 04 / 11 / 2000
08 : 14 am - - - - - - - - - - - - - - - - - - - - - - - - - - -
bradley davids on 04 / 10 / 2000 08 : 35 : 32 pm
to : "" ' steven . r . meyers @ enron . com ' ""
cc :
subject : re : possible meeting ?
steve :
i ' ll see if i can get in on the 25 th . . . will let you know , but i think
it ' ll work .
just to give you a very brief overview so you can think about who might be
interested , abacus has the largest transactional database of consumer buying
behavior in the world ( 89 million us households , 3 billion + purchases ) ,
along with sophisticated modeling capabilities to help predict customer
response to various offers at the household level . given the critical need
to reduce customer acquisition costs in retail energy markets , we believe
that our data and modeling can help energy retailers target their direct
marketing efforts toward the residential customers most likely to respond to
whatever the offer is - - improving the efficiency of mailings and other
promotional campaigns ( so there is an efficiency angle , see ! )
because our data allow the modeling of future buying behavior based on
actual purchases , our results tend to be significantly more predictive than
demographic - based models . so far , the the response from utilities and "" new
entrants "" i ' ve been talking to so far has been quite positive , and we have
some tests of our data underway , but we ' re interested in talking to as many
players in the market as possible as we develop specific products to meet
utility needs .
i can provide more background if desired to whoever might be interested , but
i guess the key immediate question is whether it might be worthwhile to
arrange a short meeting sometime on the 25 th of april with whoever at enron
might have interest in hearing what we ' re up to , and ( most importantly )
listening to what your data needs might be as you enter new markets .
thanks very much for any help . . . i look forward to catching up and
hearing how things are going for you .
regards ,
brad davids
303 - 410 - 5531
- - - - - original message - - - - -
from : steven . r . meyers @ enron . com [ mailto : steven . r . meyers @ enron . com ]
sent : monday , april 10 , 2000 12 : 13 pm
to : brad . davids @ abacus - direct . com
subject : re : possible meeting ?
it ' d be great to meet on the 25 th in the afternoon . i have a flight in the
evening . i ' m interested in hearing about life at abacus . i too have heard
that enron is getting back into the residential market . what type of
database do you have ? i might be able to find somebody for you to talk
with here .
- steve
bradley davids on 04 / 10 / 2000 12 : 04 : 00 pm
to : "" steve meyers ( e - mail ) ""
cc :
subject : possible meeting ?
steve :
sorry we ' ve been unable to hook up . . . i can probably get down there on
the 25 th , if you ' re going to be in town that afternoon ? would love to catch
up - - both on how things are going with ees and tell you about my new life .
also , i ' m hearing rumors that enron is about to get back into the
residential market in a big way - - you know anything about that ? anybody i
should talk to there about my huge database of consumer buying behavior ?
thanks - - looking forward to connecting . . . i ' ll be travelling most of this
week , but you can leave a vm and let me know when i can call you , or try me
on the cell at 303 - 886 - 3458 .
best ,
brad davids
bradley j . davids
associate vice president , utilities
abacus direct , a division of doubleclick , inc .
11101 west 120 th avenue
broomfield , co 80021 usa
e - mail brad . davids @ abacus - direct . com
tel 303 . 410 . 5531
fax 303 . 410 . 5300
www . doubleclick . net
www . abacus - direct . com
( see attached file : c . dtf )",legitimate
jose@monkey.org have (7) failed email deliveries.,"monkey.org  Dear jose@monkey.org,  You have (7) failed email deliveries.   Please kindly   click here   to verify your information in other to deliver your e-mails  monkey.org  UNSUBSCRIBE monkey.org Dear jose@monkey.org,  You have (7) failed email deliveries. Please kindly click here   to verify your information in other to deliver your e-mailsmonkey.org UNSUBSCRIBE",phishing
etc - theatre event - the lion king,"please see attached announcement on the lion king at jones hall .
if interested in purchasing tickets , please contact margaret doucette at ext . 57892 .",legitimate
